Имя 1 VS Имя 2;Победа первого;Победа второго;Ничья;Последний раунд (макс.);Последний раунд (мин.);Последний раунд (сред.);Максимальное здоровье у первого;Минимальное здоровье у первого;Среднее здоровье у первого;Максимальное здоровье у второго;Минимальное здоровье у второго;Среднее здоровье у второго
r_1 VS r_2;989;3;8;56;42;49;26,100023;-1,500001;11,206803;5,699986;-1,500030;-0,657608;
r_1 VS r_3;823;118;59;57;42;48;22,500013;-1,500026;5,596800;12,900005;-1,500033;-0,170410;
r_1 VS r_4;935;44;21;57;42;49;27,300007;-2,699985;10,258801;11,700003;-1,500034;-0,424810;
r_1 VS r_5;691;242;67;56;36;48;27,300022;-3,900022;5,713213;23,700010;-1,500031;0,871193;
r_1 VS h_1;998;0;2;32;20;26;33,000000;-0,750000;16,228500;0,000000;-1,600016;-0,750414;
r_1 VS h_2;923;30;47;32;22;26;28,500000;-3,000000;10,365000;4,399991;-1,600015;-0,690413;
r_1 VS h_3;718;165;117;31;21;26;28,500000;-3,000000;5,462250;10,399991;-1,600015;-0,221209;
r_1 VS h_4;863;91;46;31;21;26;28,500000;-5,250000;10,279500;12,799990;-1,600015;-0,376009;
r_1 VS h_5;606;299;95;31;16;25;33,000000;-7,500000;5,703000;18,799990;-1,600015;0,918784;
r_2 VS r_3;74;874;52;60;45;52;9,299997;-1,500033;-0,374404;21,300013;-1,500027;6,118803;
r_2 VS r_4;439;485;76;63;45;55;22,500019;-2,700006;1,851618;21,300005;-1,500026;2,487591;
r_2 VS r_5;159;791;50;61;33;51;16,500000;-3,900015;0,051612;33,300003;-1,500020;7,363214;
r_2 VS h_1;799;100;101;35;24;30;26,250000;-3,000000;5,975250;4,399990;-1,600018;-0,358013;
r_2 VS h_2;422;423;155;34;24;29;21,750000;-3,000000;1,668750;10,399983;-1,600018;0,923584;
r_2 VS h_3;146;740;114;33;23;28;19,500000;-3,000000;-0,466500;15,199985;-1,600016;3,037996;
r_2 VS h_4;425;444;131;35;21;29;21,750000;-5,250000;2,098500;17,599985;-1,600018;1,383184;
r_2 VS h_5;231;688;81;35;18;27;19,500000;-7,500000;0,057750;18,799986;-1,600018;4,052004;
r_3 VS r_4;781;175;44;61;43;52;23,700020;-2,700001;5,974811;14,099990;-1,500027;0,260395;
r_3 VS r_5;469;450;81;59;36;50;23,700024;-3,900024;2,712005;30,900009;-1,500028;2,949588;
r_3 VS h_1;967;17;16;35;23;28;26,250000;-3,000000;11,170500;5,599986;-1,600018;-0,640014;
r_3 VS h_2;758;148;94;33;23;28;24,000000;-3,000000;5,741250;9,199985;-1,600015;-0,178010;
r_3 VS h_3;449;400;151;32;23;27;19,500000;-3,000000;1,970250;12,799985;-1,600015;0,863586;
r_3 VS h_4;677;215;108;33;21;27;26,250000;-5,250000;5,725500;12,799991;-1,600016;0,161590;
r_3 VS h_5;409;511;80;33;16;26;28,500000;-7,500000;2,195250;22,399988;-1,600016;2,247190;
r_4 VS r_5;227;731;42;63;38;51;23,700008;-3,900015;0,585612;32,100025;-2,699997;7,323622;
r_4 VS h_1;740;149;111;35;21;30;33,000000;-3,000000;6,751500;6,799986;-2,800017;-0,289612;
r_4 VS h_2;493;396;111;35;21;29;26,250000;-3,000000;3,000750;10,399985;-2,800017;0,799986;
r_4 VS h_3;234;671;95;34;21;27;21,750000;-3,000000;0,483000;15,199983;-2,800014;2,934796;
r_4 VS h_4;403;439;158;35;21;29;26,250000;-5,250000;2,897250;18,799984;-2,800016;1,739585;
r_4 VS h_5;290;629;81;35;16;27;26,250000;-7,500000;1,113000;22,399988;-2,800015;3,770006;
r_5 VS h_1;870;78;52;35;17;28;44,250000;-3,000000;12,104250;9,199984;-4,000017;-0,728813;
r_5 VS h_2;680;242;78;34;19;27;35,250000;-3,000000;7,316250;11,599983;-4,000015;0,125590;
r_5 VS h_3;463;456;81;33;16;26;37,500000;-3,000000;3,745500;13,999983;-4,000014;1,581186;
r_5 VS h_4;645;277;78;35;16;27;46,500000;-5,250000;7,158750;16,399982;-4,000018;0,466391;
r_5 VS h_5;411;406;183;34;16;26;46,500000;-7,500000;4,310250;23,599987;-4,000016;1,967584;
h_1 VS h_2;137;707;156;20;12;16;8,000000;-3,250000;-0,806500;17,000000;-3,250000;2,885750;
h_1 VS h_3;46;891;63;19;12;15;5,750000;-3,250000;-1,387000;17,000000;-3,250000;5,583500;
h_1 VS h_4;184;674;142;20;10;16;10,250000;-5,500000;-0,766000;19,250000;-3,250000;3,547250;
h_1 VS h_5;134;779;87;20;8;15;12,500000;-7,750000;-1,297000;26,000000;-3,250000;6,119000;
h_2 VS h_3;194;628;178;18;12;15;12,500000;-3,250000;-0,509500;17,000000;-3,250000;2,613500;
h_2 VS h_4;446;409;145;20;10;15;14,750000;-5,500000;1,270250;19,250000;-3,250000;1,169000;
h_2 VS h_5;274;613;113;19;8;14;14,750000;-7,750000;-0,181000;26,000000;-3,250000;3,920750;
h_3 VS h_4;607;253;140;19;10;14;17,000000;-5,500000;2,820500;17,000000;-3,250000;0,082250;
h_3 VS h_5;458;432;110;18;7;14;17,000000;-7,750000;1,472750;26,000000;-3,250000;1,994750;
h_4 VS h_5;304;619;77;20;7;14;21,500000;-7,750000;0,215000;26,000000;-5,500000;4,033250;
